wave,line
6841.569,1.15E-02
6841.899,2.05E-02
6841.97,2.05E-02
6843.825,4.22E-01
6843.84,4.22E-01
6851.895,2.56E-03
6851.918,2.56E-03
6852.613,4.30E-03
6852.741,4.30E-03
6864.564,3.29E-01
6864.583,3.29E-01
6864.824,0.00E+00
6865.582,0.00E+00
6865.801,4.47E-04
6865.811,4.47E-04
6865.844,3.07E+00
6865.853,3.07E+00
6866.521,0.00E+00
6866.725,7.33E-04
6866.921,7.33E-04
6867.734,0.00E+00
6870.272,1.06E-01
6870.302,1.06E-01
6872.874,1.16E+00
6872.906,1.16E+00
6879.68,4.20E-02
6879.707,4.20E-02
6882.949,4.26E-01
6883.018,4.26E-01
6883.245,6.46E-05
6883.3,6.46E-05
6884.31,1.02E-04
6884.522,4.67E-06
6884.587,1.02E-04
6885.232,4.67E-06
6887.908,7.13E-06
6889.048,7.13E-06
6891.156,6.80E-01
6891.221,6.80E-01
6892.683,1.72E-02
6892.694,1.72E-02
6896.201,1.33E-01
6896.319,1.33E-01
6902.703,2.31E+00
6902.771,2.31E+00
6904.303,7.62E-06
6904.412,7.62E-06
6905.45,1.15E-05
6905.818,1.15E-05
6909.195,6.03E-03
6909.213,6.03E-03
6912.733,3.82E-02
6912.913,3.82E-02
6914.51,9.17E-01
6914.549,9.17E-01
6916.936,0.00E+00
6917.805,0.00E+00
6925.062,2.66E+00
6925.197,2.66E+00
6929.042,7.21E-07
6929.187,1.46E-03
6929.217,7.21E-07
6929.246,1.46E-03
6930.232,1.08E-06
6930.703,1.08E-06
6932.634,8.48E-03
6932.887,8.48E-03
6939.564,4.27E-07
6940.398,4.27E-07
6941.432,7.90E-01
6941.439,7.90E-01
6942.67,6.19E-07
6943.972,6.19E-07
6950.853,1.99E+00
6951.069,1.99E+00
6952.686,4.20E-04
6952.795,4.20E-04
6955.982,1.90E-03
6956.318,1.90E-03
6957.551,5.75E-08
6957.8,5.75E-08
6958.756,8.26E-08
6959.341,8.26E-08
6971.818,4.91E-01
6971.886,4.91E-01
6979.732,9.64E-05
6979.902,9.64E-05
6980.183,1.10E+00
6980.494,1.10E+00
6982.854,3.30E-04
6983.285,3.30E-04
6989.931,3.71E-09
6990.261,3.71E-09
6991.134,5.36E-09
6991.842,5.36E-09
6998.519,3.10E-08
6999.486,3.10E-08
7001.383,4.41E-08
7002.857,4.41E-08
7005.72,2.35E-01
7005.859,2.35E-01
7010.391,8.94E-06
7010.63,8.94E-06
7013.136,4.80E-01
7013.334,4.40E-05
7013.552,4.80E-01
7013.871,4.40E-05
7026.3,2.04E-10
7026.72,2.04E-10
7027.489,2.91E-10
7028.329,2.91E-10
7043.193,8.77E-02
7043.415,8.77E-02
7044.743,1.35E-06
7045.063,1.35E-06
7047.513,4.26E-06
7048.168,4.26E-06
7049.789,1.65E-01
7050.32,1.65E-01
7061.541,1.85E-09
7062.649,1.85E-09
7064.194,2.66E-09
7065.85,2.66E-09
7066.795,9.40E-12
7067.31,9.40E-12
7082.887,1.66E-07
7083.298,1.66E-07
7084.322,2.58E-02
7084.635,2.58E-02
7085.494,5.10E-07
7086.278,5.10E-07
7090.22,4.59E-02
7090.877,4.59E-02
7124.937,1.68E-08
7125.448,1.68E-08
7127.392,5.03E-08
7128.317,5.03E-08
7128.8,9.13E-11
7129.213,6.08E-03
7129.626,6.08E-03
7130.056,9.13E-11
7131.269,1.30E-10
7133.114,1.30E-10
7134.519,1.03E-02
7135.312,1.03E-02
7171.022,1.40E-09
7171.642,1.40E-09
7173.336,4.13E-09
7174.414,4.13E-09
7177.982,1.16E-03
7178.506,1.16E-03
7182.788,1.89E-03
7183.729,1.89E-03
7200.484,3.74E-12
7201.893,3.74E-12
7221.289,9.76E-11
7222.026,9.76E-11
7223.473,1.41E-10
7224.714,1.41E-10
7230.765,1.80E-04
7231.409,1.80E-04
7235.143,2.83E-04
7236.246,2.83E-04
7240.766,1.43E+00
7240.782,1.43E+00
7242.161,2.41E+00
7242.189,2.41E+00
7242.838,6.41E-01
7242.849,6.41E-01
7243.374,6.39E-01
7243.429,6.39E-01
7243.896,3.14E-01
7243.964,3.14E-01
7246.891,2.66E+00
7246.916,2.66E+00
7247.079,9.64E-01
7247.107,9.64E-01
7248.485,2.26E-01
7248.539,2.26E-01
7248.545,1.19E-01
7248.612,1.19E-01
7255.121,9.39E-01
7255.13,9.39E-01
7257.26,3.58E-02
7257.312,3.58E-02
7257.834,6.38E-02
7257.945,6.38E-02
7270.023,8.62E-03
7270.046,8.62E-03
7270.986,1.47E-02
7271.167,1.47E-02
7275.901,5.67E-12
7276.765,5.67E-12
7277.1,6.95E-01
7277.125,6.95E-01
7277.967,8.09E-12
7278.405,6.54E+00
7278.415,6.54E+00
7279.38,8.09E-12
7283.549,2.21E-01
7283.588,2.21E-01
7286.428,2.56E+00
7286.464,2.56E+00
7286.833,1.69E-03
7286.853,1.69E-03
7287.706,2.29E-05
7288.038,2.68E-03
7288.305,2.68E-03
7288.481,2.29E-05
7291.718,3.49E-05
7292.995,3.49E-05
7294.195,9.59E-02
7294.234,9.59E-02
7297.911,9.66E-01
7297.988,9.66E-01
7305.691,1.43E+00
7305.766,1.43E+00
7307.724,2.61E-04
7307.798,2.61E-04
7308.936,3.70E-02
7308.958,3.70E-02
7309.091,4.12E-04
7309.457,4.12E-04
7313,3.25E-01
7313.136,3.25E-01
7318.262,4.83E+00
7318.334,4.83E+00
7327.694,1.37E-02
7327.704,1.37E-02
7331.142,1.94E+00
7331.192,1.94E+00
7331.822,9.43E-02
7332.03,9.43E-02
7332.793,3.44E-05
7332.936,3.44E-05
7334.255,5.30E-05
7334.736,5.30E-05
7335.045,2.77E-13
7336.04,2.77E-13
7342.835,5.66E+00
7342.979,5.66E+00
7348.968,2.37E-06
7349.885,2.37E-06
7350.427,4.14E-03
7350.481,4.14E-03
7352.666,3.52E-06
7354.129,3.52E-06
7354.485,2.43E-02
7354.779,2.43E-02
7360.684,1.70E+00
7360.688,1.70E+00
7362.142,3.75E-06
7362.364,3.75E-06
7363.652,5.59E-06
7364.262,5.59E-06
7371.278,4.31E+00
7371.513,4.31E+00
7377.18,1.10E-03
7377.292,1.10E-03
7381.09,5.04E-03
7381.483,5.04E-03
7394.205,1.10E+00
7394.264,1.10E+00
7395.891,3.39E-07
7396.208,3.39E-07
7397.42,4.98E-07
7398.175,4.98E-07
7403.727,2.48E+00
7404.067,2.48E+00
7408.012,2.31E-04
7408.194,2.31E-04
7411.74,9.58E-04
7412.245,9.58E-04
7414.732,2.04E-07
7415.801,2.04E-07
7418.155,2.97E-07
7419.819,2.97E-07
7431.758,5.46E-01
7431.896,5.46E-01
7434.187,2.56E-08
7434.611,2.56E-08
7435.713,3.69E-08
7436.629,3.69E-08
7440.292,1.13E+00
7440.751,1.13E+00
7443.011,3.78E-05
7443.273,3.78E-05
7446.546,1.41E-04
7447.176,1.41E-04
7463.261,8.88E-02
7463.326,8.88E-02
7464.44,3.45E-01
7464.52,3.45E-01
7464.598,4.91E-02
7464.687,4.91E-02
7465.177,1.78E-02
7465.216,1.78E-02
7465.772,1.05E-02
7465.863,1.05E-02
7466.886,1.75E-01
7466.962,1.75E-01
7468.626,9.70E-01
7468.708,9.70E-01
7470.254,2.79E-03
7470.257,2.79E-03
7470.348,1.67E-03
7470.431,1.67E-03
7472.74,4.52E-01
7472.789,4.52E-01
7473.417,2.15E-01
7473.644,2.15E-01
7475.7,2.02E+00
7475.772,2.02E+00
7477.201,1.62E-09
7477.744,1.62E-09
7478.3,2.05E-04
7478.364,2.05E-04
7478.506,2.38E-04
7478.55,2.38E-04
7478.708,2.32E-09
7479.802,2.32E-09
7481.074,4.11E-01
7481.665,4.11E-01
7482.285,4.78E-06
7482.307,8.31E-01
7482.318,8.31E-01
7482.642,4.78E-06
7485.196,1.44E-08
7485.512,2.51E+00
7485.562,2.51E+00
7485.629,1.78E-05
7486.4,1.78E-05
7486.426,1.44E-08
7488.38,2.09E-08
7489.627,1.43E-05
7489.662,1.43E-05
7490.016,2.21E-05
7490.115,2.21E-05
7490.256,2.09E-08
7495.716,9.28E-01
7495.75,9.28E-01
7504.342,1.06E-06
7504.345,1.06E-06
7504.836,1.46E-06
7505.001,1.46E-06
7519.282,6.77E-02
7519.61,6.77E-02
7522.436,5.50E-08
7522.486,5.50E-08
7523.023,8.09E-08
7523.261,8.09E-08
7524.723,7.55E-01
7524.739,7.55E-01
7525.125,8.76E-11
7525.803,8.76E-11
7525.967,6.65E-07
7526.061,6.88E+00
7526.07,6.88E+00
7526.183,1.22E-01
7526.43,6.65E-07
7526.917,1.22E-01
7529.129,2.06E-06
7530.056,2.06E-06
7530.294,2.24E-01
7530.318,2.24E-01
7532.771,2.40E+00
7532.802,2.40E+00
7539.44,7.55E-02
7539.459,7.55E-02
7542.424,7.42E-01
7542.491,7.42E-01
7543.988,2.36E-09
7544.092,2.36E-09
7544.636,3.42E-09
7544.954,3.42E-09
7552.034,2.74E-02
7552.034,2.74E-02
7555.148,2.19E-01
7555.261,2.19E-01
7559.535,1.53E+00
7559.61,1.53E+00
7560.581,8.56E-10
7561.981,8.56E-10
7563.554,1.22E-09
7565.655,1.22E-09
7567.962,5.46E-03
7567.992,5.46E-03
7569.053,9.01E-11
7569.217,9.01E-11
7569.485,1.73E-02
7569.738,1.29E-10
7569.925,1.73E-02
7570.142,1.29E-10
7571.035,4.45E-02
7571.204,4.45E-02
7573.784,5.13E+00
7573.876,5.13E+00
7574.211,7.71E-08
7574.794,7.71E-08
7575.736,2.95E-02
7576.627,2.95E-02
7577.202,1.94E-07
7578.301,1.94E-07
7587.213,1.64E-03
7587.281,1.64E-03
7588.166,1.92E+00
7588.197,1.92E+00
7590.152,9.19E-03
7590.387,9.19E-03
7597.696,2.16E-12
7597.923,2.16E-12
7598.401,3.05E-12
7598.895,3.05E-12
7600.448,5.34E+00
7600.622,5.34E+00
7609.789,3.76E-04
7609.905,3.76E-04
7612.56,1.32E-03
7612.869,1.32E-03
7620.131,1.46E+00
7620.164,1.46E+00
7624.176,3.59E-03
7624.74,3.59E-03
7627.193,4.98E-09
7627.91,4.98E-09
7629.871,5.75E-03
7629.99,4.75E-14
7630.023,1.47E-08
7630.283,4.75E-14
7630.589,3.51E+00
7630.858,3.51E+00
7630.934,5.75E-03
7631.314,1.47E-08
7635.717,6.70E-05
7635.891,6.70E-05
7638.311,2.23E-04
7638.704,2.23E-04
7641.133,4.29E-11
7642.709,4.29E-11
7655.365,7.81E-01
7655.475,7.81E-01
7664.284,1.69E+00
7664.658,1.69E+00
7665.044,9.32E-06
7665.282,9.32E-06
7667.466,1.49E-05
7667.951,1.49E-05
7683.524,5.99E-04
7684.226,5.99E-04
7685.114,4.06E-10
7685.981,4.06E-10
7687.796,1.18E-09
7688.742,9.46E-04
7689.298,1.18E-09
7689.994,9.46E-04
7693.93,3.06E-01
7694.126,3.06E-01
7697.825,0.00E+00
7698.137,0.00E+00
7700.085,1.58E-06
7700.673,1.58E-06
7701.58,6.01E-01
7702.066,6.01E-01
7714.329,2.24E+00
7714.331,2.24E+00
7714.728,3.61E+00
7714.749,3.61E+00
7717.134,9.87E-01
7717.209,9.87E-01
7717.948,1.06E+00
7717.983,1.06E+00
7718.998,5.12E-01
7719.016,3.80E+00
7719.039,3.80E+00
7719.087,5.12E-01
7720.152,1.43E+00
7720.196,1.43E+00
7725.65,2.08E-01
7725.736,2.08E-01
7725.75,4.00E-01
7725.84,4.00E-01
7728.167,1.34E+00
7728.167,1.34E+00
7734.129,0.00E+00
7734.523,0.00E+00
7735.901,9.00E-02
7736.191,9.00E-02
7736.241,1.33E-07
7736.939,1.33E-07
7737.042,6.78E-02
7737.106,6.78E-02
7737.876,1.23E-01
7738.039,1.23E-01
7742.52,1.65E-01
7743.126,1.65E-01
7747.723,8.41E-05
7748.203,2.80E-11
7748.576,8.41E-05
7749.237,2.80E-11
7750.748,6.01E-11
7751.541,9.67E-01
7751.574,9.67E-01
7752.481,6.01E-11
7752.53,1.30E-04
7752.768,9.12E+00
7752.779,9.12E+00
7753.168,1.79E-02
7753.196,1.79E-02
7753.987,1.30E-04
7754.456,3.09E-02
7754.709,3.09E-02
7758.967,3.09E-01
7759.021,3.09E-01
7762.111,3.67E+00
7762.152,3.67E+00
7771.25,1.35E-01
7771.307,1.35E-01
7774.034,0.00E+00
7774.049,3.90E-03
7774.074,3.90E-03
7774.518,0.00E+00
7775.465,1.43E+00
7775.555,1.43E+00
7775.622,6.49E-03
7775.981,6.49E-03
7776.01,0.00E+00
7776.827,0.00E+00
7781.37,2.03E-02
7781.761,2.03E-02
7782.529,1.98E+00
7782.616,1.98E+00
7787.152,3.49E-02
7787.888,3.49E-02
7788.29,5.69E-02
7788.332,5.69E-02
7793.001,5.02E-01
7793.159,5.02E-01
7796.218,6.67E+00
7796.294,6.67E+00
