Wavelength,Disk,Spheroid,AGN,ObscuredAGN,Total
1.04616455102201e-08,1.24656492233373e-07,2.39577555156756e-06,0,0,2.52043204380093e-06
1.0471285480509e-08,1.2542243658909e-07,2.40663491875899e-06,0,0,2.53205735534808e-06
1.04809343336287e-08,1.26189086730609e-07,2.4175042924047e-06,0,0,2.54369337913531e-06
1.04905920777645e-08,1.26956443308272e-07,2.42838368172508e-06,0,0,2.55534012503336e-06
1.05002587211089e-08,1.27724506973041e-07,2.43927309594932e-06,0,0,2.56699760292236e-06
1.05099342718622e-08,1.28493278376463e-07,2.45017254431488e-06,0,0,2.57866582269134e-06
1.05196187382322e-08,1.29262758170691e-07,2.46108203606782e-06,0,0,2.59034479423851e-06
1.05293121284344e-08,1.30032947008476e-07,2.47200158046269e-06,0,0,2.60203452747116e-06
1.05390144506916e-08,1.59519160944918e-07,3.2984517148393e-06,0,0,3.45797087578422e-06
1.05487257132344e-08,1.60529572300406e-07,3.31427288608199e-06,0,0,3.47480245838239e-06
1.05584459243008e-08,1.61480963709715e-07,3.3286603887724e-06,0,0,3.49014135248211e-06
1.05681750921366e-08,1.62439559977281e-07,3.342874625069e-06,0,0,3.50531418504628e-06
1.0577913224995e-08,1.63471629058337e-07,3.35832644015431e-06,0,0,3.52179806921265e-06
1.0587660331137e-08,1.64514964575073e-07,3.37396649991539e-06,0,0,3.53848146449047e-06
1.0597416418831e-08,1.65559261481997e-07,3.38962097133959e-06,0,0,3.55518023282159e-06
1.06071814963531e-08,1.66643277417557e-07,3.40570350464046e-06,0,0,3.57234678205802e-06
1.06169555719872e-08,1.67742248022486e-07,3.42194980251307e-06,0,0,3.58969205053556e-06
1.06267386540246e-08,1.68842231283025e-07,3.43821107067205e-06,0,0,3.60705330195508e-06
1.06365307507644e-08,1.69943228132289e-07,3.45448732291186e-06,0,0,3.62443055104415e-06
1.06463318705131e-08,1.71045239504263e-07,3.47077857303972e-06,0,0,3.64182381254398e-06
1.06561420215852e-08,1.72148266333775e-07,3.48708483487544e-06,0,0,3.65923310120922e-06
1.06659612123026e-08,1.73252309556541e-07,3.50340612225187e-06,0,0,3.67665843180841e-06
1.0675789450995e-08,1.74357370109123e-07,3.51974244901437e-06,0,0,3.69409981912349e-06
1.06856267459996e-08,1.75463448928944e-07,3.53609382902106e-06,0,0,3.71155727795e-06
1.06954731056616e-08,1.76570546954292e-07,3.55246027614284e-06,0,0,3.72903082309713e-06
1.07053285383336e-08,1.77678665124326e-07,3.5688418042635e-06,0,0,3.74652046938782e-06
1.07151930523761e-08,1.78787804379063e-07,3.58523842727948e-06,0,0,3.76402623165854e-06
1.0725066656157e-08,1.79897965659401e-07,3.60165015910024e-06,0,0,3.78154812475964e-06
1.07349493580524e-08,2.0431649664354e-07,4.4115872255304e-06,0,0,4.61590372217394e-06
1.07448411664456e-08,2.05622579684071e-07,4.43266873827712e-06,0,0,4.63829131796119e-06
1.07547420897279e-08,2.0689659923084e-07,4.45266027262289e-06,0,0,4.65955687185373e-06
1.07646521362984e-08,2.0819763262276e-07,4.47291158154339e-06,0,0,4.68110921416615e-06
1.07745713145637e-08,2.09593887979086e-07,4.49467584985082e-06,0,0,4.7042697378299e-06
1.07844996329383e-08,2.11016443900214e-07,4.51676623535392e-06,0,0,4.72778267925414e-06
1.07944370998445e-08,2.12443059381116e-07,4.53891060878232e-06,0,0,4.75135366816343e-06
1.08043837237123e-08,2.14190346717185e-07,4.56529657879277e-06,0,0,4.77948692550996e-06
1.08143395129794e-08,2.16344878640554e-07,4.59706844671383e-06,0,0,4.81341332535438e-06
1.08243044760913e-08,2.18501395875292e-07,4.62886959108699e-06,0,0,4.84737098696228e-06
1.08342786215014e-08,2.20659900250775e-07,4.66070003888917e-06,0,0,4.88135993913994e-06
1.08442619576707e-08,2.22820393598076e-07,4.69255981712232e-06,0,0,4.9153802107204e-06
1.08542544930683e-08,2.24982877749933e-07,4.724448952813e-06,0,0,4.94943183056294e-06
1.08642562361706e-08,2.27147354540821e-07,4.75636747301332e-06,0,0,4.98351482755415e-06
1.08742671954624e-08,2.29313825806851e-07,4.78831540479959e-06,0,0,5.01762923060645e-06
1.0884287379436e-08,2.31482293385835e-07,4.82029277527313e-06,0,0,5.05177506865897e-06
1.08943167965913e-08,2.33652759117332e-07,4.85229961156101e-06,0,0,5.08595237067834e-06
1.09043554554366e-08,2.35825224842516e-07,4.88433594081423e-06,0,0,5.12016116565675e-06
1.09144033644876e-08,2.37999692404319e-07,4.91640179020961e-06,0,0,5.15440148261393e-06
